"outlet-temperature-rfile"
"Iteration" "outlet-temperature"
("Iteration" "outlet-temperature")
1 372.3067257067023
2 372.3599518298604
3 372.36129637715
4 372.3608109015578
5 372.3604379440734
6 372.3598174449079
7 372.3579307190309
8 372.3516605965706
9 372.3336343973746
10 372.2893354816677
11 372.1926008117487
12 372.0018205558073
13 371.6578160018237
14 371.0817079296328
15 370.182115893577
16 368.8607255735812
17 367.0275818685817
18 364.606901882985
19 361.5608906564665
20 357.8916643690201
21 353.6485056170178
22 348.9274398427841
23 343.859368970244
24 338.5992010579387
25 333.3095072128538
26 328.1455544140954
27 323.2449591456042
28 318.7142899112371
29 314.6274202357397
30 311.0281100809019
31 307.9314640251956
32 305.3247261118925
33 303.186161237582
34 301.475413375714
35 300.1542755007266
36 299.1755091207887
37 298.4973047282471
38 298.064951835742
39 297.8278857165325
40 297.7237392260148
41 297.7126157409338
42 297.7648791256899
43 297.8578111883653
44 297.972458355395
45 298.0964586621448
46 298.2218016903727
47 298.340606001365
48 298.449241609067
49 298.5439433882346
50 298.6251163654126
51 298.6926067596635
52 298.7464652322936
53 298.788857249867
54 298.8216074172591
55 298.8453316709698
56 298.8618907039032
57 298.872757616806
58 298.8793419105659
59 298.8827331858491
60 298.8837097592896
61 298.882847404712
62 298.8809680425773
63 298.8784457179169
64 298.8755577236071
65 298.8722628492802
66 298.8689541869401
67 298.8656285320217
68 298.8623296636553
69 298.8591036654303
70 298.8559524163673
71 298.8529048894569
72 298.8499329101149
73 298.8470788068751
74 298.8442418400737
75 298.8414546615987
76 298.8387176139786
77 298.8360451041837
78 298.8333746015716
79 298.8307513327654
80 298.8281654645309
81 298.8259605063919
82 298.8235421880467
83 298.8214411146728
84 298.8194510377684
85 298.8172356341874
86 298.8152505920785
87 298.8133505467721
88 298.8115317199446
89 298.8095499181268
90 298.8077905354342
91 298.8060869203085
92 298.8044449982532
93 298.802886275022
94 298.8014197485558
95 298.8000431468296
96 298.7987398692892
97 298.7975098095809
98 298.7963483973927
99 298.7952575787394
100 298.7942327141496
101 298.7932868814742
102 298.7924236705106
103 298.7916247149552
104 298.7908878969394
105 298.7902101020629
106 298.7895879522137
107 298.7890191821194
108 298.7885011627142
109 298.7880305722145
110 298.787604119528
111 298.7872171619075
112 298.7868615602962
113 298.7865468992831
114 298.7862654859718
115 298.7860136085348
116 298.7857885321618
117 298.7855877617108
118 298.7854089284408
119 298.7852499908186
120 298.7851089322536
121 298.7849838745059
122 298.7848731057374
123 298.7847751127546
